alt,lat,lon,sats,signal,speed,ts,veh_id,dev_id,date,task_id,next_task_id,line_id,route_id,driver_id,car_no,course_no,pt,primary_veh_id,prev_stop_id,prev_stop_dev,cur_stop_id,cur_stop_dev,seg_fraction,status,in_depot
559.3,42.683951624532845,23.322254724465832,8,31,0.0,1738075117137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A1808,0,A0397,0,0.487,on task,False
558.6,42.68396745450589,23.32223523907729,9,31,8.9,1738075122137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A1808,0,A0397,0,0.491,on task,False
558.6,42.68360779138829,23.322116928644512,9,31,24.1,1738075127137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A1808,0,A0397,0,0.538,on task,False
564.4,42.68198492899226,23.3204708687884,9,31,20.7,1738075157137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A0397,0,A2329,0,0.0,on task,False
564.3,42.68217589922719,23.32062668208469,9,31,0.0,1738075162137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A0397,0,A2329,0,0.0,on task,False
563.3,42.68209672783454,23.320743899953065,9,31,0.0,1738075167138,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A0397,0,A2329,0,0.0,on task,False
563.2,42.68189337735756,23.32082462248397,9,31,0.0,1738075172137,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A0397,0,A2329,0,0.0,on task,False
566.4,42.681316299061834,23.321032767392428,9,31,29.6,1738075202138,A2044,0040E11A,2025-01-28,9761076,9766043,A57,A140,13436,4,18,1_1,A2044,A0397,0,A2329,0,0.217,on task,False
581.7,42.66564030798336,23.342312897593064,9,31,24.8,1738073432137,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A2366,0,A1342,0,0.869,on task,False
582.7,42.66606971205198,23.34225351666536,9,31,19.8,1738073437137,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A1342,0,A0465,0,0.0,on task,False
584.6,42.66630009788006,23.342018475535504,9,31,22.4,1738073467137,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A1342,0,A0465,0,0.07,on task,False
583.8,42.666673229094,23.341899706775106,9,31,29.6,1738073472138,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A1342,0,A0465,0,0.173,on task,False
583.6,42.666586548962265,23.341244714664864,9,31,36.7,1738073477138,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A1342,0,A0465,0,0.307,on task,False
584.8,42.66656966691897,23.34026329533489,9,30,42.2,1738073482137,A2044,0040E11A,2025-01-28,9759846,9761076,A57,A141,13436,4,17,1_1,A2044,A1342,0,A0465,0,0.463,on task,False
